theta_st,FK,FKS,CLU,,FK (scaled),FKS (scaled),Comp. FK,CLU
0,0.939172293,-0.000426984,0.018587071,,0.969586146,0.499786508,0.734686327,0.018587071
0.005,0.939508283,0.0018988,0.014540417,,0.969754141,0.5009494,0.735351771,0.014540417
0.01,0.939401285,0.005230551,0.01010541,,0.969700643,0.502615276,0.736157959,0.01010541
0.015,0.939008974,0.007258168,0.006406409,,0.969504487,0.503629084,0.736566786,0.006406409
0.02,0.938671498,0.00853525,0.003659607,,0.969335749,0.504267625,0.736801687,0.003659607
0.025,0.938462043,0.009577149,0.002170204,,0.969231021,0.504788575,0.737009798,0.002170204
0.03,0.938278396,0.010062189,0.00186854,,0.969139198,0.505031095,0.737085146,0.00186854
0.035,0.938073832,0.010935447,0.002592203,,0.969036916,0.505467724,0.73725232,0.002592203
0.04,0.93779335,0.011637636,0.003483629,,0.968896675,0.505818818,0.737357747,0.003483629
0.045,0.937622328,0.012249693,0.004171036,,0.968811164,0.506124847,0.737468005,0.004171036
0.05,0.937417636,0.013266197,0.004760051,,0.968708818,0.506633099,0.737670958,0.004760051
0.055,0.937204724,0.014418816,0.005225284,,0.968602362,0.507209408,0.737905885,0.005225284
0.06,0.937071254,0.015818511,0.005688325,,0.968535627,0.507909255,0.738222441,0.005688325
0.065,0.937017946,0.016848794,0.00619105,,0.968508973,0.508424397,0.738466685,0.00619105
0.07,0.936931805,0.018312592,0.006754653,,0.968465903,0.509156296,0.738811099,0.006754653
0.075,0.936868582,0.020402168,0.00731681,,0.968434291,0.510201084,0.739317688,0.00731681
0.08,0.936793754,0.022413773,0.007996992,,0.968396877,0.511206887,0.739801882,0.007996992
0.085,0.936668347,0.023485144,0.008668279,,0.968334173,0.511742572,0.740038373,0.008668279
0.09,0.936510283,0.025362133,0.009383779,,0.968255141,0.512681067,0.740468104,0.009383779
0.095,0.936460282,0.027306632,0.010107117,,0.968230141,0.513653316,0.740941729,0.010107117
0.1,0.936330128,0.028908973,0.010875115,,0.968165064,0.514454487,0.741309775,0.010875115
